infraction,count
PARK HWY PROHIBED TIME/DAY,569772
PARK PROHIBITED TIME NO PERMIT,428476
PARK FAIL TO DISPLAY RECEIPT,341828
PARK/LEAVE ON PRIVATE PROPERTY,332757
PARK FAIL TO DEP. FEE MACHINE,226683
STOP HWY PROHIBITED TIME/DAY,184219
PARK OVER 3 HOURS,114809
STD VEH HWY PROHIB TIME/DAY,110473
PARK HWY OVER PERMITTED TIME,102709
PARK - 3 M OF FIRE HYDRANT,39711
PARK ON   2AM-6AM DEC 1-MAR 31,34720
STOP ON/OVER SIDEWALK/FOOTPATH,25447
PARK IN PUBLIC LANE,24246
PARK IN A FIRE ROUTE,21410
PARKING MACH-NOT USED/NO FEE  ,19502
STAND SIGNED TRANSIT STOP,18418
PARK - ON BOULEVARD,16386
PARK-PASSENGER/FREIGHT LOADING,16358
PARK 9M OF INTERSCTING HIGHWAY,16032
STOP VEH OTR THN BCYCL-BYCL LN,12955
PARK/LEAVE ON MUNICIPAL PRPTY,10596
PARK-FAIL TO DISPLAY PERMIT,7498
PARK FAIL TO DEPOSIT FEE METER,6287
STAND SIGNED TAXICAB STAND,6037
PARK IN PARK NOT IN DESIG AREA,5999
FAIL TO PARK/STOP PARA TO CURB,5738
PARK - NOT WITHIN PERIOD  ,4881
PARK OBSTRUCT DRIVE/LANE,4478
FAIL TO PARK/STOP PARA RTHD HW,4376
PARK IN DISABLED NO PERMIT,3888
PARK CONTRARY POSTED CONDITION,3222
STAND ON-ST DISABL LDG NO PRMT,2958
PARK ON-STRT DISABLD NO PERMIT,2806
STOP SIDE STOPPED/PARKED VEH,2607
STOP WITHIN 9M OF CROSSWALK,1964
PARK - BETWEEN ROAD & SIDEWALK,1761
PARK VEHICLE IN CAR-SHARE AREA,1469
PARK TRUCK HWY NO PERM TIME/DA,1365
PARK VEHICLE OUTSIDE OF SPACE ,1220
STAND STR DISABL LDG NO DROPOF,991
PARK HWY WITHN T-TYPE INTERSCT,786
STAND BUS PROHIBITED TIME,710
PARK VEHICLE ON ROADWAY,518
PARK 60CM OF DRIVEWAY/LANEWAY,485
PARK VEHICLE WHILE NOT IN PARK,424
STAND ON-STRT DISABL NO PERMIT,398
PARK/LEAVE CONTRARY TO SIGN,383
PARK IN DISABLED NOT DROP OFF,354
PARK VEHICLE-FOR SALE,299
PARK/STOP OVER 30 CM FROM CURB,277
PARK BUS PROHIBITED TIME,266
PARK ON HWY UNDER 6M WIDE,254
STAND DISABLD LDG NOT DROP OFF,243
STOP ADJACENT TO CENTRE BLVD,228
STAND IN DISABLED NOT DROP OFF,212
STOP IN UNDERPASS,189
PARK-HWY 15M TRM DEAD END ST.,185
STOP WITHIN INTERSECTION/XWALK,177
STOP/PARK/LEAVE/STAND CLSD ST,165
STAND VEHICLE WHERE PROHIBITED,155
PARK/LEAVE-FIRE ROUTE,141
